"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"2435",3.19566813050888,NA,0.355057869916858,NA,NA,NA,NA,NA,0.00640348366021662,"+",NA,NA,0.125034061048089,NA,9,-32.2807214246337,86.0229813108059,9.00225141600365,0.0014723575056277
"5379",3.0653826294626,NA,0.435166537315339,NA,NA,NA,NA,NA,NA,"+",NA,-0.149825456436435,NA,-0.05013197584454,9,-32.2927160582122,86.0469705779629,9.02624068316058,0.00145480260959379
"2311",3.1942300591841,NA,0.3187913315905,-0.074957327495396,NA,NA,NA,NA,NA,"+",NA,NA,0.12088366821118,NA,9,-32.2942457345904,86.0500299307192,9.02930003591695,0.0014525789335929
"2052",2.86337602439079,0.0224419763818851,0.385447092355255,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155938555170079,NA,7,-34.9984307200969,86.070935514268,9.05020561946569,0.0014374745077002
"2691",2.85453923227076,NA,0.405735293000748,NA,NA,NA,NA,NA,-0.00959536954149137,NA,-0.298984813745413,NA,0.345201636020226,NA,8,-33.6918294511521,86.1006400343796,9.07991013957732,0.00141628252645601
"4103",2.85730605806245,NA,0.418598065096316,-0.109942568987477,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0514812956260975,7,-35.0176868626598,86.1094477993936,9.08871790459131,0.00141005909829418
"1315",3.07873909328067,NA,0.418800778032254,NA,NA,NA,0.0239183963197936,NA,NA,"+",NA,-0.158673992248417,NA,NA,9,-32.3280438450628,86.117626151664,9.0968962568617,0.0014043048912814
"3079",2.79979086799378,NA,0.323653525610656,-0.123106384120535,NA,NA,NA,NA,NA,NA,NA,-0.257317899575236,0.249360700423032,NA,8,-33.7095115312171,86.1360041945097,9.11527429970744,0.00139145981079546
"2308",3.19818192511099,0.0530524360286858,0.332962416516617,NA,NA,NA,NA,NA,NA,"+",NA,NA,0.1254741695241,NA,9,-32.3642072649811,86.1899529915007,9.1692230966984,0.00135442772391071
"2564",2.85948445243716,0.0627635214193063,0.383917655086242,NA,NA,NA,NA,NA,NA,NA,-0.308130356569435,NA,0.344229331562565,NA,8,-33.738580370357,86.1941418727894,9.17341197798712,0.00135159392408459
