"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"6793",2.53048208447017,NA,NA,NA,0.00933601407655194,NA,NA,NA,0.322387446816075,NA,-0.103794630857826,NA,-0.00854832779316058,0.0867729096551614,9,-2.59502549416997,25.3076980471635,46.3817210419396,3.6927183966503e-11
"5225",2.54669046870586,NA,NA,NA,-0.112157511168927,NA,0.153846435784558,0.190100492917898,NA,NA,NA,0.0383730840298689,NA,0.135627441496472,9,-2.5956014983915,25.3088500556065,46.3828730503826,3.69059198773396e-11
"4713",2.54647559654244,NA,NA,NA,-0.0799648573482093,NA,0.14566250927411,0.186948832760527,NA,NA,0.0405269068762877,NA,NA,0.099986011453448,9,-2.60827556258377,25.3341981839911,46.4082211787671,3.64411235308489e-11
"38",2.61228472446213,0.161242877184028,NA,-0.0266054833214767,NA,NA,0.00342144302220097,NA,NA,NA,NA,NA,NA,NA,7,-5.02353495773789,25.3344262373149,46.4084492320909,3.64369685080731e-11
"6150",2.60168844798267,0.139468662024832,NA,0.0109021995038378,NA,NA,NA,NA,NA,NA,NA,NA,0.0116211540378401,0.136526879345834,8,-3.83164436246489,25.3377073295809,46.411730324357,3.63772409865608e-11
"4182",2.58617218955377,0.167386990166257,NA,-0.0496573012375829,NA,-0.0427060549436077,NA,0.16115570630315,NA,NA,NA,NA,NA,0.0787047628800147,9,-2.61032529181524,25.338297642454,46.4123206372301,3.6366505594128e-11
"6341",2.52448724951697,NA,NA,0.000611817539211844,NA,NA,NA,0.0832466651909633,0.252226094837825,NA,NA,NA,-0.0786010580033339,0.0477338026623908,9,-2.6119221227959,25.3414913044153,46.4155142991914,3.63084807715837e-11
"1057",2.59152991804279,NA,NA,NA,NA,NA,0.0434622335196979,NA,NA,NA,NA,0.0142907108198949,NA,NA,6,-6.19846780310992,25.3514810607653,46.4255040555414,3.61275765069047e-11
"3586",2.62976288190553,0.254741838054881,NA,NA,NA,NA,NA,NA,NA,NA,0.10047228826918,0.131418422896648,-0.0516473490482889,NA,8,-3.83996818526971,25.3543549751906,46.4283779699667,3.60757000063501e-11
"1610",2.59999794902655,0.241759528065938,NA,NA,-0.0070068811376599,NA,NA,0.163857180908415,NA,NA,0.00722046797034195,0.0824981125885625,NA,NA,9,-2.62155010077012,25.3607472603638,46.4347702551399,3.59605809916095e-11
"4174",2.58352658527617,0.181726798783778,NA,-0.0143200999285788,0.0119148677866593,NA,NA,0.154632156346697,NA,NA,NA,NA,NA,0.0610446086402631,9,-2.62733485308186,25.3723167649873,46.4463397597633,3.57531584599923e-11
"1241",2.53203825441451,NA,NA,NA,0.0119892795192272,-0.0563472200242399,NA,0.111949586327455,0.243333378255506,NA,NA,-0.0423015195458561,NA,NA,9,-2.6282939161315,25.3742348910865,46.4482578858626,3.57188853644623e-11
"4614",2.60125520241819,0.138277162149196,NA,0.0139109736833637,NA,NA,NA,NA,NA,NA,0.0267378070946384,NA,NA,0.122372402370417,8,-3.85686054209233,25.3881396888358,46.4621626836119,3.54714146803116e-11
"13",2.58850631301758,NA,NA,0.00641563177335548,-0.00136597590546586,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-6.2193211329656,25.3931877204767,46.4672107152527,3.53819971615726e-11
"5329",2.53504114399334,NA,NA,NA,NA,-0.0614831123339356,NA,0.105719706252275,0.218747963886286,NA,NA,-0.0399903105561551,NA,0.0384176952081832,9,-2.63784501976792,25.3933370983594,46.4673600931355,3.53793546163472e-11
"3241",2.54225504831548,NA,NA,NA,0.02579090569841,NA,0.0939350014933786,NA,0.31345280094223,NA,NA,0.0147061247157073,-0.0250694352590136,NA,9,-2.6381200366714,25.3938871321663,46.4679101269424,3.53696260336174e-11
"7361",2.52120334402906,NA,NA,NA,NA,NA,NA,0.0943301916758937,0.24109930571535,NA,NA,-0.0391031222386058,-0.0637054013365038,0.0484083080981801,9,-2.64889300449698,25.4154330678175,46.4894560625936,3.49906352832991e-11
"1110",2.60425238432825,0.245154196466333,NA,-0.0243560611429804,NA,-0.0221191891466979,NA,0.172575787718362,NA,NA,NA,0.0853948462909355,NA,NA,9,-2.6494310623164,25.4165091834563,46.4905321782324,3.49718133624736e-11
"2265",2.53379887853885,NA,NA,NA,-0.0159424651990968,-0.0600929125985918,NA,0.109231213301108,0.251271621492751,NA,NA,NA,-0.0157522906438731,NA,9,-2.65101899453335,25.4196850478902,46.4937080426663,3.49163245612375e-11
